,0,1,2,3,4,5,6
ea01,0,40.0,120.0,,,,
ea02,0,1.0,8.0,40.0,41.0,84.0,149.0
ea03,53,80.0,122.0,,,,
ea04,1,116.0,120.0,,,,
ea05,0,40.0,96.0,120.0,,,
ea06,0,149.0,,,,,
ea07,0,40.0,41.0,135.0,,,
ea08,44,80.0,113.0,133.0,,,
ea09,0,40.0,62.0,81.0,120.0,,
ea10,40,41.0,121.0,,,,
ea11,120,,,,,,
ea12,2,40.0,80.0,96.0,120.0,,
ea14,0,40.0,80.0,120.0,,,
ea15,0,1.0,,,,,
em02,81,,,,,,
em04,0,40.0,80.0,120.0,,,
em07,0,40.0,80.0,,,,
em08,40,80.0,,,,,
em09,32,40.0,107.0,130.0,,,
em10,40,80.0,,,,,
em11,38,76.0,,,,,
em12,0,40.0,114.0,139.0,,,
em13,0,1.0,40.0,80.0,,,
na01,0,40.0,80.0,,,,
na02,0,100.0,127.0,,,,
na03,28,139.0,,,,,
na04,39,40.0,109.0,147.0,,,
na05,0,40.0,41.0,80.0,81.0,150.0,
na08,0,40.0,80.0,,,,
na09,0,80.0,126.0,,,,
na10,0,40.0,57.0,80.0,120.0,,
na11,121,,,,,,
na12,0,42.0,80.0,121.0,,,
na13,0,122.0,,,,,
na14,0,40.0,120.0,,,,
na15,0,40.0,80.0,,,,
nm01,0,40.0,80.0,,,,
nm02,0,40.0,,,,,
nm03,40,41.0,120.0,150.0,,,
nm05,0,100.0,120.0,,,,
nm07,1,118.0,123.0,,,,
nm08,0,,,,,,
nm09,0,118.0,,,,,
nm11,80,,,,,,
nm14,0,156.0,,,,,
nm15,32,80.0,,,,,
